track,artist
"Kathal Oviyam - From ""Alaigal Oyvatillai""","Jensy, Ilaiyaraaja"
Ayiram Thamarai,"S. Janaki, S. P. Balasubrahmanyam"
"Innum Ennai Enna - From ""Singaravelan""","S. P. Balasubrahmanyam, S. Janaki"
Putham Puthu Kaalai,S. Janaki
Chinna Kili Vanna,"S. P. Balasubrahmanyam, S. Janaki"
Ennai Thottu,"S. P. Balasubrahmanyam, Swarnalatha"
"Ennavendru Solvathamma - From ""Rajakumaran""",S. P. Balasubrahmanyam
Kammani,"Kamal Haasan, S. Janaki"
"Saandhu Pottu - From ""Thevar Magan""","S. P. Balasubrahmanyam, Kamal Haasan"
Inji Idupazhagi,"Kamal Haasan, S. Janaki"
"Aasai Athigam - From ""Marupadiyum""",S. Janaki
Sundari,"S. P. Balasubrahmanyam, S. Janaki"
"Rakkamma (From ""Thalapathi"")","S. P. Balasubrahmanyam, Swarnalatha"
"Nee Partha Parvaikku (From ""Heyram"")","Hariharan, Asha Bhosle"
Kodiyile Malliyapoo,"P. Jayachandran, S. Janaki"
O Butterfly,"S. P. Balasubrahmanyam, Asha Bhosle"
"Andhiyile Vaanam - From ""Chinnavar""","Swarnalatha, Mano"
"Kaadhal Vaanilae - From ""Raasaiyya""","S. P. Balasubrahmanyam, Pavadharini"
Selai Kattum,"S. P. Balasubrahmanyam, K. S. Chithra"
"Valli Valli Ena - From ""Deiva Vaakku""","Ilaiyaraaja, S. Janaki"
Valaiyosai Kalakala,Lata Mangeshkar
Thendral Vanthu,"Ilaiyaraaja, S. Janaki"
"Kannukkul Nooru Nilava (From ""Vedam Pudhithu"")","S. P. Balasubrahmanyam, K. S. Chithra"
"Malai Kovil Vaasalil - From ""Veera""","Mano, Swarnalatha"
Raasa Unna,P. Susheela
Indha Maan,"Ilaiyaraaja, K. S. Chithra"
Maanguyilae - Solo,S. P. Balasubrahmanyam
Pesa Koodathu,"Ilaiyaraaja, S. P. Balasubrahmanyam, S. Janaki"
Sangathil Padatha,"Ilaiyaraaja, S. Janaki"
Enakku Piditha Paadal,"Ilaiyaraaja, Shreya Ghoshal"
Aagaya Gangai-Duet,"K. J. Yesudas, S. Janaki"
Panivizhum Iravu,"S. Janaki, S. P. Balasubrahmanyam"
Nila Adhu Vanathumele,Ilaiyaraaja
Thenmadurai Vaigai Nadhi,"S. P. Balasubrahmanyam, P. Susheela, Malaysia Vasudevan"
Enakku Piditha Paadal Reprise,"Ilaiyaraaja, Vijay Yesudas"
Maasi Masam Alana Ponnu,"K. J. Yesudas, Swarnalatha"
Maniyae Manikkuyile,"Ilaiyaraaja, Mano, K. S. Chithra"
Sundhari Neeyum Sundharan Njanum,"Kamal Haasan, S. Janaki"
Aagaya Vennilavae,"Uma Ramanan, K. J. Yesudas"
Sembpoove Poove,"S. P. Balasubrahmanyam, K. S. Chithra"
Raja Raja Chozhan,K. J. Yesudas
Marugo Marugo,"S. P. Balasubrahmanyam, K. S. Chithra"
Kalyaana Thaen Nilaa,K J Yesudas K S Chithra
Naan Thedum Sevanthi,"Ilaiyaraaja, S. Janaki"
"Nila Kayuthu Neram Nalla Neram (Version 1) (From ""Sakalakala Vallavan"")","Malaysia Vasudevan, S. Janaki"
Oru Kili Uruguthu,"S. Janaki, S. P. Sailaja"
Kadhal Kasakkuthaiya,Ilaiyaraaja
Panivizhum Malar Vanam,S. P. Balasubrahmanyam
Ooruvittu Ooruvanthu,Malaysia Vasudevan
Neethane Enthan Pon Vasantham,S. P. Balasubrahmanyam
Vaazhavaikum Kaathalukku Jey,"S. P. Balasubrahmanyam, S. Janaki"
Oh Maanae Maana,"S. P. Balasubrahmanyam, S. Janaki"
Maalayil Yaro Manathodu,Swarnalatha
Ninnukori Varanam,K. S. Chithra
Sorgame Endralum,"Ilaiyaraaja, S. Janaki"
Karutha Machan,S. Janaki
Adiye Manam Nilluna,"S. P. Balasubrahmanyam, S. Janaki"
Rasathi Unnai,P. Jayachandran
Ada Machamulla,"Ilaiyaraaja, S. P. Balasubrahmanyam, S. Janaki, S. P. Sailaja, T. V. Gopalakrishnan"
Thanga Changili,"Malaysia Vasudevan, S. Janaki"
Siruponmani Asaiyum,"Ilaiyaraaja, S. Janaki"
Keladi Kanmani,S. P. Balasubrahmanyam
Aeh Raasaaththi,Malaysia Vasudevan
Edho Mogam,"Ilaiyaraaja, Krishnachandran, S. Janaki"
Kadhoram Loolakku,"Mano, S. Janaki"
Kanmani,"Kamal Haasan, S. Janaki"
Kaattumalli,"Ilaiyaraaja, Ananya Bhat"
En Iniya Pon Nilave Pon,K. J. Yesudas
Naan Erikarai(Ilayaraja),Ilaiyaraaja
